Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Nov 25 22:49:21 2016
Invocation: foremost -t all darkstar.img 
Output directory: /home/pwn/ctf/2013/picoctf-2013/darkstar/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: darkstar.img
Start: Fri Nov 25 22:49:21 2016
Length: 7 MB (8000000 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
111:	00011200.jpg 	       5 KB 	    5734400 	 
112:	00011212.jpg 	       4 KB 	    5740544 	 
113:	00011308.jpg 	       1 KB 	    5789696 	 
114:	00011312.jpg 	       6 KB 	    5791744 	 
115:	00011326.jpg 	       2 KB 	    5798912 	 
116:	00011332.jpg 	       3 KB 	    5801984 	 
117:	00011340.jpg 	       6 KB 	    5806080 	 
118:	00011354.jpg 	       4 KB 	    5813248 	 
119:	00011364.jpg 	       3 KB 	    5818368 	 
120:	00011372.jpg 	       7 KB 	    5822464 	 
121:	00011388.jpg 	       4 KB 	    5830656 	 
122:	00011398.jpg 	      13 KB 	    5835776 	 
123:	00011426.jpg 	       5 KB 	    5850112 	 
124:	00011438.jpg 	       2 KB 	    5856256 	 
125:	00011444.jpg 	       3 KB 	    5859328 	 
126:	00011452.jpg 	       7 KB 	    5863424 	 
127:	00011468.jpg 	       6 KB 	    5871616 	 
128:	00011514.jpg 	       5 KB 	    5895168 	 
129:	00011552.jpg 	       5 KB 	    5914658 	 
130:	00011572.jpg 	       5 KB 	    5924864 	 
131:	00011584.jpg 	       6 KB 	    5931008 	 
132:	00011598.jpg 	       8 KB 	    5938176 	 
133:	00011616.jpg 	       4 KB 	    5947392 	 
134:	00011626.jpg 	       8 KB 	    5952512 	 
135:	00011644.jpg 	       5 KB 	    5961728 	 
136:	00011656.jpg 	       1 KB 	    5967872 	 
137:	00011669.jpg 	       5 KB 	    5974536 	 
138:	00011709.jpg 	       3 KB 	    5995034 	 
139:	00011745.jpg 	       3 KB 	    6013466 	 
140:	00011772.jpg 	       1 KB 	    6027264 	 
141:	00011776.jpg 	       3 KB 	    6029312 	 
142:	00011784.jpg 	       6 KB 	    6033408 	 
143:	00011806.jpg 	       3 KB 	    6045136 	 
144:	00011853.jpg 	       4 KB 	    6069210 	 
145:	00011912.jpg 	       6 KB 	    6098944 	 
146:	00011926.jpg 	       5 KB 	    6106112 	 
147:	00011938.jpg 	       6 KB 	    6112256 	 
148:	00011952.jpg 	      11 KB 	    6119424 	 
149:	00011976.jpg 	       4 KB 	    6131712 	 
150:	00011986.jpg 	       6 KB 	    6136832 	 
151:	00012000.jpg 	       5 KB 	    6144000 	 
152:	00012020.jpg 	       3 KB 	    6154718 	 
153:	00012048.jpg 	       3 KB 	    6168576 	 
154:	00012065.jpg 	       2 KB 	    6177342 	 
155:	00012129.jpg 	       6 KB 	    6210148 	 
156:	00012160.jpg 	      14 KB 	    6225920 	 
157:	00012190.jpg 	       3 KB 	    6241280 	 
158:	00012198.jpg 	       4 KB 	    6245376 	 
159:	00012208.jpg 	       7 KB 	    6250496 	 
160:	00012224.jpg 	       5 KB 	    6258688 	 
161:	00012236.jpg 	       5 KB 	    6264832 	 
162:	00012248.jpg 	       9 KB 	    6270976 	 
163:	00012268.jpg 	       6 KB 	    6281216 	 
164:	00012282.jpg 	       5 KB 	    6288384 	 
165:	00012303.jpg 	      10 KB 	    6299242 	 
166:	00012352.jpg 	       2 KB 	    6324224 	 
167:	00012367.jpg 	       5 KB 	    6332050 	 
168:	00012396.jpg 	       5 KB 	    6346752 	 
169:	00012408.jpg 	      907 B 	    6352896 	 
170:	00012410.jpg 	       5 KB 	    6353920 	 
171:	00012422.jpg 	       3 KB 	    6360064 	 
172:	00012430.jpg 	       5 KB 	    6364160 	 
173:	00012442.jpg 	       3 KB 	    6370304 	 
174:	00012450.jpg 	       7 KB 	    6374400 	 
175:	00012466.jpg 	       3 KB 	    6382592 	 
176:	00012474.jpg 	       3 KB 	    6386688 	 
177:	00012492.jpg 	       4 KB 	    6396400 	 
178:	00012534.jpg 	       3 KB 	    6417408 	 
179:	00012542.jpg 	       4 KB 	    6421504 	 
180:	00012552.jpg 	      16 KB 	    6426624 	 
181:	00012586.jpg 	       6 KB 	    6444032 	 
182:	00012600.jpg 	       6 KB 	    6451200 	 
183:	00012614.jpg 	       7 KB 	    6458368 	 
184:	00012630.jpg 	       6 KB 	    6466560 	 
185:	00012644.jpg 	       4 KB 	    6473728 	 
186:	00012654.jpg 	       3 KB 	    6478848 	 
187:	00012662.jpg 	       2 KB 	    6482944 	 
188:	00012668.jpg 	       7 KB 	    6486016 	 
189:	00012684.jpg 	       9 KB 	    6494208 	 
190:	00012704.jpg 	       8 KB 	    6504448 	 
191:	00012722.jpg 	       2 KB 	    6513664 	 
192:	00012772.jpg 	       7 KB 	    6539264 	 
193:	00012788.jpg 	       4 KB 	    6547456 	 
194:	00012798.jpg 	       7 KB 	    6552576 	 
195:	00006146.png 	       5 KB 	    3146752 	  (192 x 56)
Finish: Fri Nov 25 22:49:22 2016

196 FILES EXTRACTED
	
jpg:= 195
png:= 1
------------------------------------------------------------------

Foremost finished at Fri Nov 25 22:49:22 2016
